0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,PROJECT START_Schedule,PROJECT START_Schedule_Exp/Actual,SITE OPENING_Schedule,SITE OPENING_Schedule_Exp/Actual,CVL START_Schedule,CVL START_Schedule_Exp/Actual,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
1,MEJIA UNIT-5 (2 X 250 MW) ,CENTRAL,250,15-06-2004,WEST BENGAL,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,10-02-2005,25-02-2005,20-06-2005,30-11-2005,N.A.,N.A.,22-05-2006,16-08-2006,13-09-2006,01-01-2007,19-09-2006,16-02-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-10-2006,23-03-2007,N.A.,N.A.,10-02-2005,25-02-2005,N.A.,N.A.,17-08-2006,12-12-2006,N.A.,N.A.,06-10-2006,20-02-2007,29-10-2006,27-02-2007,N.A.,N.A.,13-11-2006,31-03-2007,N.A.,N.A.,N.A.,N.A.,12-01-2007,29-02-2008,12-01-2007,29-02-2008,12-01-2007,29-02-2008
2,GIRAL UNIT-1 (2X125 MW),STATE,125,08-10-2003,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-05-2006,28-02-2007,09-06-2006,14-09-2007,N.A.,N.A.,23-06-2006,18-10-2011,23-06-2006,18-10-2011,N.A.,N.A.
3,KORBA EAST UNIT-1 (2 X 250 MW),STATE,250,28-04-2004,CHHATTISGARH,BTG,PSER,CSEB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-01-2005,26-02-2005,28-05-2005,22-06-2005,N.A.,N.A.,28-03-2006,01-07-2006,28-08-2006,16-01-2007,01-09-2006,03-03-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-11-2006,26-03-2007,N.A.,N.A.,25-01-2005,26-02-2005,N.A.,N.A.,28-10-2006,13-01-2007,N.A.,N.A.,28-11-2006,20-03-2007,10-12-2006,28-03-2007,N.A.,N.A.,28-12-2006,30-03-2007,N.A.,N.A.,N.A.,N.A.,28-03-2007,14-12-2007,28-03-2007,27-01-2008,28-03-2007,27-01-2008
4,PARAS UNIT-1 (1X250 MW) ,STATE,250,25-05-2004,MAHARASHTRA,BTG,PSWR,MAHAGENCO,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-01-2005,29-03-2005,25-07-2005,25-08-2005,N.A.,N.A.,25-12-2005,30-07-2006,25-07-2006,30-11-2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-01-2005,29-03-2005,N.A.,N.A.,25-08-2006,30-11-2006,N.A.,N.A.,25-10-2006,05-01-2007,25-10-2006,10-01-2007,N.A.,N.A.,25-11-2006,31-05-2007,N.A.,N.A.,N.A.,N.A.,25-01-2007,31-03-2008,25-01-2007,27-01-2008,N.A.,N.A.
5,BIRSINGPUR (SANJAY GANDHI) TPS EXTN UNIT-5 (1X500 MW),STATE,500,27-06-2003,MADHYA PRADESH,EPC,PSWR,MPEB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,01-05-2004,25-06-2004,30-11-2004,23-03-2005,N.A.,N.A.,01-12-2005,29-03-2006,31-05-2006,28-10-2006,31-05-2006,15-12-2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-08-2006,28-04-2007,N.A.,N.A.,01-05-2004,25-06-2004,N.A.,N.A.,31-03-2006,31-05-2006,N.A.,N.A.,31-05-2006,19-02-2007,01-07-2006,28-03-2007,N.A.,N.A.,26-09-2006,18-06-2007,N.A.,N.A.,N.A.,N.A.,26-12-2006,27-08-2008,26-12-2006,27-08-2008,N.A.,N.A.
6,SIPAT-4(500 MW),,500,15-12-2003,CHATTISGARH,BTG,PSSR,NTPC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,14-10-2004,14-10-2004,14-03-2005,30-04-2005,N.A.,N.A.,14-02-2006,22-05-2006,14-08-2006,29-12-2006,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,14-10-2006,14-04-2007,N.A.,N.A.,14-07-2005,15-07-2005,N.A.,N.A.,14-08-2006,27-12-2006,N.A.,N.A.,14-09-2006,10-04-2007,14-10-2006,24-04-2007,N.A.,N.A.,14-12-2006,27-05-2007,N.A.,N.A.,N.A.,N.A.,14-04-2007,20-06-2008,14-04-2007,20-06-2008,N.A.,N.A.
7,RAIGARH UNIT-1 (4X250MW) ,PRIVATE,250,15-10-2004,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,16-07-2005,15-07-2005,17-12-2005,27-02-2006,N.A.,N.A.,28-08-2006,05-12-2006,18-01-2007,21-06-2007,28-01-2007,29-06-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-02-2007,06-08-2007,N.A.,N.A.,16-07-2005,05-04-2006,N.A.,N.A.,31-12-2006,05-06-2007,N.A.,N.A.,09-02-2007,07-07-2007,09-03-2007,12-07-2007,N.A.,N.A.,29-03-2007,02-09-2007,N.A.,N.A.,N.A.,N.A.,29-06-2007,11-01-2008,29-06-2007,11-01-2008,29-06-2007,29-06-2007
8,MEJIA UNIT-6 (2 X 250 MW) ,CENTRAL,250,15-06-2004,WEST BENGAL,EPC,PSER,DVC,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,10-04-2005,28-07-2005,20-08-2005,18-01-2006,N.A.,N.A.,22-07-2006,10-11-2006,13-11-2006,19-06-2007,19-11-2006,26-08-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-12-2006,21-09-2007,N.A.,N.A.,10-04-2005,28-07-2005,N.A.,N.A.,17-10-2006,25-06-2007,N.A.,N.A.,06-12-2006,14-09-2007,29-12-2006,25-09-2007,N.A.,N.A.,13-01-2007,01-10-2007,N.A.,N.A.,N.A.,N.A.,12-03-2007,24-09-2008,12-03-2007,24-09-2008,12-03-2007,24-09-2008
9,SANTALDIH EXTN UNIT-5 (1X250 MW) ,STATE,250,27-07-2004,WEST BENGAL,EPC,PSER,WBPDCL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,27-04-2005,29-08-2005,25-08-2005,23-12-2005,N.A.,N.A.,14-07-2006,05-12-2006,16-10-2006,30-03-2007,16-10-2006,30-07-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,23-12-2006,30-08-2007,N.A.,N.A.,27-04-2005,29-08-2005,N.A.,N.A.,12-11-2006,03-08-2007,N.A.,N.A.,12-12-2006,15-10-2007,23-12-2006,31-10-2007,N.A.,N.A.,27-01-2007,07-11-2007,N.A.,N.A.,N.A.,N.A.,26-04-2007,30-03-2009,26-04-2007,30-03-2009,N.A.,N.A.
10,KORBA EAST UNIT-2 (2 X 250 MW),STATE,250,28-04-2004,CHHATTISGARH,BTG,PSER,CSEB,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-05-2005,01-08-2005,04-10-2005,18-11-2005,N.A.,N.A.,20-07-2006,27-10-2006,24-01-2007,15-06-2007,23-02-2007,09-10-2007,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-03-2007,23-11-2007,N.A.,N.A.,25-05-2005,01-08-2005,N.A.,N.A.,20-12-2006,06-10-2007,N.A.,N.A.,31-01-2007,05-11-2007,02-03-2007,23-11-2007,N.A.,N.A.,25-03-2007,11-12-2007,N.A.,N.A.,N.A.,N.A.,28-07-2007,27-03-2009,28-07-2007,30-11-2008,28-07-2007,31-07-2009
