0,Project,Sector,MW,Zero Date,State,Scope,Region,Customer,BOILER ERECTION START_Schedule,BOILER ERECTION START_Schedule_Exp/Actual,DRUM LIFTING_Schedule,DRUM LIFTING_Schedule_Exp/Actual,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule,CEILING GIRDER/SEPERATOR ERECTION COMPLETION_Schedule_Exp/Actual,HYDRAULIC TEST_Schedule,HYDRAULIC TEST_Schedule_Exp/Actual,BOILER LIGHT UP_Schedule,BOILER LIGHT UP_Schedule_Exp/Actual,ALKALI BOIL OUT COMPLETION_Schedule,ALKALI BOIL OUT COMPLETION_Schedule_Exp/Actual,EDTA START_Schedule,EDTA START_Schedule_Exp/Actual,EDTA COMPLETION_Schedule,EDTA COMPLETION_Schedule_Exp/Actual,STEAM BLOWING START_Schedule,STEAM BLOWING START_Schedule_Exp/Actual,STEAM BLOWING COMPLETION_Schedule,STEAM BLOWING COMPLETION_Schedule_Exp/Actual,NORMALIZATION_Schedule,NORMALIZATION_Schedule_Exp/Actual,CONDENSER ERECTION START_Schedule,CONDENSER ERECTION START_Schedule_Exp/Actual,TURBINE ERECTION START_Schedule,TURBINE ERECTION START_Schedule_Exp/Actual,TG BOX UP_Schedule,TG BOX UP_Schedule_Exp/Actual,OIL FLUSHING START_Schedule,OIL FLUSHING START_Schedule_Exp/Actual,OIL FLUSHING COMPLETION_Schedule,OIL FLUSHING COMPLETION_Schedule_Exp/Actual,BARRING GEAR_Schedule,BARRING GEAR_Schedule_Exp/Actual,ROLLING_Schedule,ROLLING_Schedule_Exp/Actual,SYNCHRONISATION_Schedule,SYNCHRONISATION_Schedule_Exp/Actual,FULL LOAD_Schedule,FULL LOAD_Schedule_Exp/Actual,CAPACITY ADDITION_Schedule,CAPACITY ADDITION_Schedule_Exp/Actual,COMMERCIAL OPERATION DECLARATION_Schedule,COMMERCIAL OPERATION DECLARATION_Schedule_Exp/Actual,TRIAL OPERATION COMPLETION_Schedule,TRIAL OPERATION COMPLETION_Schedule_Exp/Actual,HAND OVER_Schedule,HAND OVER_Schedule_Exp/Actual
1,MEJIA UNIT-5 (2 X 250 MW) ,CENTRAL,250,15-06-04,WEST BENGAL,EPC,PSER,DVC,10-02-05,25-02-05,20-06-05,30-11-05,N.A.,N.A.,22-05-06,16-08-06,13-09-06,01-01-07,19-09-06,16-02-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-10-06,23-03-07,N.A.,N.A.,10-02-05,25-02-05,N.A.,N.A.,17-08-06,12-12-06,N.A.,N.A.,06-10-06,20-02-07,29-10-06,27-02-07,N.A.,N.A.,13-11-06,31-03-07,N.A.,N.A.,N.A.,N.A.,12-01-07,29-02-08,12-01-07,29-02-08,12-01-07,29-02-08
2,GIRAL UNIT-1 (2X125 MW),STATE,125,08-10-03,RAJASTHAN,BTG,PSNR,RRVUNL,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,22-05-06,28-02-07,09-06-06,14-09-07,N.A.,N.A.,23-06-06,18-10-11,23-06-06,18-10-11,N.A.,N.A.
3,KORBA EAST UNIT-1 (2 X 250 MW),STATE,250,28-04-04,CHHATTISGARH,BTG,PSER,CSEB,25-01-05,26-02-05,28-05-05,22-06-05,N.A.,N.A.,28-03-06,01-07-06,28-08-06,16-01-07,01-09-06,03-03-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,12-11-06,26-03-07,N.A.,N.A.,25-01-05,26-02-05,N.A.,N.A.,28-10-06,13-01-07,N.A.,N.A.,28-11-06,20-03-07,10-12-06,28-03-07,N.A.,N.A.,28-12-06,30-03-07,N.A.,N.A.,N.A.,N.A.,28-03-07,14-12-07,28-03-07,27-01-08,28-03-07,27-01-08
4,PARAS UNIT-1 (1X250 MW) ,STATE,250,25-05-04,MAHARASHTRA,BTG,PSWR,MAHAGENCO,25-01-05,29-03-05,25-07-05,25-08-05,N.A.,N.A.,25-12-05,30-07-06,25-07-06,30-11-06,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,25-01-05,29-03-05,N.A.,N.A.,25-08-06,30-11-06,N.A.,N.A.,25-10-06,05-01-07,25-10-06,10-01-07,N.A.,N.A.,25-11-06,31-05-07,N.A.,N.A.,N.A.,N.A.,25-01-07,31-03-08,25-01-07,27-01-08,N.A.,N.A.
5,BIRSINGPUR (SANJAY GANDHI) TPS EXTN UNIT-5 (1X500 MW),STATE,500,27-06-03,MADHYA PRADESH,EPC,PSWR,MPEB,01-05-04,25-06-04,30-11-04,23-03-05,N.A.,N.A.,01-12-05,29-03-06,31-05-06,28-10-06,31-05-06,15-12-06,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,31-08-06,28-04-07,N.A.,N.A.,01-05-04,25-06-04,N.A.,N.A.,31-03-06,31-05-06,N.A.,N.A.,31-05-06,19-02-07,01-07-06,28-03-07,N.A.,N.A.,26-09-06,18-06-07,N.A.,N.A.,N.A.,N.A.,26-12-06,27-08-08,26-12-06,27-08-08,N.A.,N.A.
6,SIPAT-4(500 MW),,500,15-12-03,CHATTISGARH,BTG,PSSR,NTPC,14-10-04,14-10-04,14-03-05,30-04-05,N.A.,N.A.,14-02-06,22-05-06,14-08-06,29-12-06,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,14-10-06,14-04-07,N.A.,N.A.,14-07-05,15-07-05,N.A.,N.A.,14-08-06,27-12-06,N.A.,N.A.,14-09-06,10-04-07,14-10-06,24-04-07,N.A.,N.A.,14-12-06,27-05-07,N.A.,N.A.,N.A.,N.A.,14-04-07,20-06-08,14-04-07,20-06-08,N.A.,N.A.
7,RAIGARH UNIT-1 (4X250MW) ,PRIVATE,250,15-10-04,CHHATTISGARH,BTG,PSWR,"JINDAL POWER LIMITED , NEW DELHI",16-07-05,15-07-05,17-12-05,27-02-06,N.A.,N.A.,28-08-06,05-12-06,18-01-07,21-06-07,28-01-07,29-06-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,28-02-07,06-08-07,N.A.,N.A.,16-07-05,05-04-06,N.A.,N.A.,31-12-06,05-06-07,N.A.,N.A.,09-02-07,07-07-07,09-03-07,12-07-07,N.A.,N.A.,29-03-07,02-09-07,N.A.,N.A.,N.A.,N.A.,29-06-07,11-01-08,29-06-07,11-01-08,29-06-07,29-06-07
8,MEJIA UNIT-6 (2 X 250 MW) ,CENTRAL,250,15-06-04,WEST BENGAL,EPC,PSER,DVC,10-04-05,28-07-05,20-08-05,18-01-06,N.A.,N.A.,22-07-06,10-11-06,13-11-06,19-06-07,19-11-06,26-08-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,24-12-06,21-09-07,N.A.,N.A.,10-04-05,28-07-05,N.A.,N.A.,17-10-06,25-06-07,N.A.,N.A.,06-12-06,14-09-07,29-12-06,25-09-07,N.A.,N.A.,13-01-07,01-10-07,N.A.,N.A.,N.A.,N.A.,12-03-07,24-09-08,12-03-07,24-09-08,12-03-07,24-09-08
9,SANTALDIH EXTN UNIT-5 (1X250 MW) ,STATE,250,27-07-04,WEST BENGAL,EPC,PSER,WBPDCL,27-04-05,29-08-05,25-08-05,23-12-05,N.A.,N.A.,14-07-06,05-12-06,16-10-06,30-03-07,16-10-06,30-07-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,23-12-06,30-08-07,N.A.,N.A.,27-04-05,29-08-05,N.A.,N.A.,12-11-06,03-08-07,N.A.,N.A.,12-12-06,15-10-07,23-12-06,31-10-07,N.A.,N.A.,27-01-07,07-11-07,N.A.,N.A.,N.A.,N.A.,26-04-07,30-03-09,26-04-07,30-03-09,N.A.,N.A.
10,KORBA EAST UNIT-2 (2 X 250 MW),STATE,250,28-04-04,CHHATTISGARH,BTG,PSER,CSEB,25-05-05,01-08-05,04-10-05,18-11-05,N.A.,N.A.,20-07-06,27-10-06,24-01-07,15-06-07,23-02-07,09-10-07,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,15-03-07,23-11-07,N.A.,N.A.,25-05-05,01-08-05,N.A.,N.A.,20-12-06,06-10-07,N.A.,N.A.,31-01-07,05-11-07,02-03-07,23-11-07,N.A.,N.A.,25-03-07,11-12-07,N.A.,N.A.,N.A.,N.A.,28-07-07,27-03-09,28-07-07,30-11-08,28-07-07,31-07-09
